blas,impl,mnk,time/us,TOPS
tn,cutlass,128,35.43,0.12
tn,cutlass,256,67.97,0.49
tn,cutlass,512,118.83,2.26
tn,cutlass,1024,296.06,7.25
tn,cutlass,2048,2422.27,7.09
tn,cutlass,4096,17431.36,7.88
tn,cutlass,8192,136697,8.04
tn,cutlass,16384,1114419,7.89
tn,ours,128,28.21,0.15
tn,ours,256,73.04,0.46
tn,ours,512,53.31,5.03
tn,ours,1024,113.96,20.42
tn,ours,2048,761.53,22.56
tn,ours,4096,5131.84,27.04
tn,ours,8192,40584.72,27.70
tn,ours,16384,321405.74,27.37
tn,torch,128,61.76,0.07
tn,torch,256,54.11,0.62
tn,torch,512,60.92,4.41
tn,torch,1024,110.03,22.02
tn,torch,2048,568.69,30.21
tn,torch,4096,4247.30,32.36
tn,torch,8192,34573.51,31.80
tn,torch,16384,267819.04,32.84